Kingdom	Phylum	Class	Order	Family	Genus	C1_A	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C
Fungi	Fungi	Fungi	Fungi	Fungi	Fungi	5509	6848	4535	8688	4901	5972	10341	18275	8618	17123	7275	8382	4544	6689	5888	12121	8297	30911	1234	7459	8804	16260	3252	14339	29781	18640	6107	2343	2631	6887	6093	8827	5235	3909	1092	6278	3839	2111	5363	3453	3174	10280	17355	15403	6146	6537	3147	2901	1401	4334	1608	2639	805	711	619	1578	1268	320	377	2009	1911	1531	1354	884	984	2539	3307	1303	921	1039	8200	653	1563	449	3094	1051	716	1499	1621	1504	917	831	1703	8676	7299	2293	6393	7808	3751	5630	5672	2294	4279	4466	1640	3125	4124	2904	5449	4336	922	3601	2693	2081	5876	10801	4361	2641	6627	4695	2652	1935	1262	2955	1531	1018	7836	2969	4563	28193	10845	5695	1535	13262	5561	8410	1370	4454	4837	1332	4544	5723	1463	5334	3955	7434	1861	3370	1974
Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	3022	3084	1896	791	13852	4650	5459	4907	2637	3206	938	1120	642	512	660	2772	1264	1134	1589	1661	2382	3562	2590	1163	1463	458	783	719	875	2527	1158	682	3426	3472	597	931	571	405	2376	711	446	3470	2038	1428	322	626	688	1198	883	737	274	226	404	313	18	1835	129	24	49	1110	835	581	821	613	1013	883	437	349	218	180	89	157	466	357	504	466	176	489	844	243	490	713	1319	463	219	1288	1289	2326	3772	988	816	1512	595	616	363	1336	3261	1265	828	320	228	2120	611	850	3679	2695	2060	2940	1944	1437	927	878	931	667	1235	422	2246	1510	618	1143	1345	1631	855	2835	66	1737	1004	294	934	4740	853	990	298	2927	3348	646	1685	710	1797
Fungi	Ascomycota	Archaeorhizomycetes;__;__;__	Archaeorhizomycetes;__;__;__	Archaeorhizomycetes;__;__;__	Archaeorhizomycetes;__;__;__	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0	37	46	13	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	80	34	0	1164	946	0	0	22	0	7	0	0	0	0	0	29	0	9	8	0	0	0	0
Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	166	0	75	13	11	13	0	87	20	70	4596	340	1658	3	14	4	0	40	78	259	9612	243	1122	18	97	19	636	179	327	112	3	4	179	33	0	134	137	32	617	194	652	1523	2390	2482	42	65	0	21	92	58	0	0	0	0	0	0	0	2	0	48	7	66	18	42	19	116	0	36	0	0	0	0	0	0	21	30	0	85	6	270	8	0	0	12	104	0	69	4581	874	27	25	0	93	444	1013	2593	621	9980	13	11	71	318	93	39	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	71	0	0	0	0
Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetes	Archaeorhizomycetes	Archaeorhizomycetes	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	20	0	0	13	0	7	0	0	0	31	44	0	15	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	3	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes;__;__;__	Dothideomycetes;__;__;__	Dothideomycetes;__;__;__	Dothideomycetes;__;__;__	4	0	46	10	10	34	22	711	308	206	114	68	13	12	18	275	185	59	62	205	55	108	185	0	0	0	7	41	79	6	8	3	0	8	0	10	46	0	12	7	22	9	0	58	0	0	16	45	25	52	20	23	0	9	24	33	4	0	27	0	0	13	9	7	5	92	244	167	16	0	8	10	23	32	76	69	153	0	0	6	38	32	44	7	4	4	28	71	87	47	25	129	16	19	6	73	31	46	17	19	20	47	5	0	0	0	13	0	0	8	0	0	0	7	42	15	11	0	0	0	0	66	0	53	0	0	0	0	52	57	0	0	0	55	86	22	4	0	0
Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Leptodiscella	0	0	28	0	34	0	0	0	0	10	12	0	65	0	0	0	76	0	88	12	0	8	21	43	13	38	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	421	1159	881	753	511	348	577	874	1635	637	1276	191	182	272	439	206	804	107	147	85	784	382	712	896	831	774	0	59	51	49	72	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	93	45	9	64	115	22	44	0	361	11	44	114	86	45	0	0	0	0	0	0	453	0	27	320	70	0	0	0	139	0	0	98	164	31
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	32	107	84	20	36	11	24	6	96	68	114	41	0	133	38	62	72	0	251	62	118	36	59	0	61	0	106	34	6	0	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	35	0	0	0	8	0	0	7	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	3	121	66	27	116	0	0	44	52	87	22	188	220	0	0	35	39	92	62	0	9	63	0	59	0	406	108	0	90	146	0	58	4	0
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	0	45	22	17	23	0	0	15	71	8	0	0	0	19	65	25	26	0	5	0	0	0	0	0	0	0	0	0	0	0	42	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	17	0	69	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	6	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	21	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	0	23	108	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	0	0	14	0	0	0	0	0	0	15	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	10	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales;__;__	Capnodiales;__;__	Capnodiales;__;__	14	170	294	24	16	0	17	0	74	56	140	43	25	0	27	0	0	0	221	13	0	17	78	24	145	9	37	8	4	12	14	67	5	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	115	1858	37	17	0	46	0	0	0	52	0	7	0	0	0	21	0	0	0	5	0	0	98	0	0	0	0	0	0	182	0	0	0	0	0	0	20	0	0	5	0	0	0	0	6	0	0	3	0	0	0	0	0	201	0	0	0	0	0	8	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	44	0	7	0	12	24	0	0	0	0	73
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae;__	Capnodiaceae;__	115	9	35	17	0	0	12	296	246	240	26	38	18	17	104	125	94	86	35	52	152	51	43	210	218	49	63	123	77	25	35	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	366	14	76	44	0	13	0	0	28	37	14	26	22	14	0	0	13	36	17	0	167	342	0	78	0	99	75	19	53	230	57	24	43	26
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	10668	307	342	194	122	66	111	267	369	549	969	228	165	99	489	391	757	646	452	108	244	235	316	7962	8325	1436	128	516	174	100	132	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	713	61	20	23	40	5	0	26	0	0	80	58	36	5	91	41	249	51	8	24	44	0	37	14	30	33	9	46	22	29	104	122	62
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	104	24	0	0	0	0	0	13	0	0	36	67	0	0	58	23	122	35	5	61	0	0	11	0	35	0	0	0	6	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Polychaeton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	30	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	24	139	1243	235	179	34	215	36	585	586	65	326	160	45	144	0	75	10	306	225	87	57	57	434	1297	335	559	145	109	37	26	23	5	0	0	0	0	0	0	0	0	0	0	0	0	27	9	9	165	0	5	25	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	24	0	0	50	0	0	0	0	21	0	0	0	13	0	5	0	15	43	0	4	0	0	9	0	0	0	5	0	9	0	0	10	0	4	3	0	6	43	509	2641	125	673	2704	318	119	2775	99	763	738	86	159	99	25	438	153	132	33	0	23	228	109	1350	10056	58	496	521	2634	321	1332	1049	56	374
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	0	38	42	32	14	0	0	0	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	12	52	8	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	136	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	15	53	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	35	34	3	0	21	0	0	8	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	1365	13	0	8	0	0	0	66	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Septoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	16	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	26	742	0	0	0	0	0	0	279	6	0	0	0	0	0	0	0	85	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae;__	Neodevriesiaceae;__	0	18	75	10	8	0	0	0	5	13	57	20	3	0	0	0	0	0	14	0	0	0	8	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Catenulostroma	0	2	18	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	239	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	8	0	134	0	0	7	0	0	4	89	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	11	0	0	14	0	0	5	0	472	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	9	0	0	0	0	0	0	0	0	0	67	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	0	19	12	0	0	0	0	0	0	0	8	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	367	603	366	49	0	0	4	15	172	53	194	127	7	15	75	17	63	6	113	15	44	12	58	753	497	186	7	18	0	14	10	59	0	0	0	13	0	0	0	0	0	0	0	0	0	16	0	0	0	0	122	484	6	0	0	0	0	0	0	84	54	15	3	0	0	69	124	27	0	209	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	196	0	0	3	0	0	0	0	0	37	0	0	0	0	803	135	23	43	159	48	4	108	48	78	102	140	50	247	92	176	0	25	8	161	0	0	78	0	22	128	288	286	287	84	501	433	121	191	0	27
Fungi	Ascomycota	Dothideomycetes	Hysteriales	Hysteriales	Hysteriales	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	127	55	0	100	52	7	32	5	0	30	320	59	52	71	0	5	0	0	21	0	37	0	0	4	0	0	0	587	122	55	0	0	2	98	167	32	0	7	0	17	0	5	0	0	13	212	46	53	9	22	97	24	54	9	56	40	149	178	104	49	167	327	133	227	65	34	1599	19	0	57	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Xylomyces	8	17	0	0	31	0	9	0	0	12	0	0	0	0	17	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	14	0	8	0	29	12	0	19	15	0	22	14	0	0	0	4	39	39	11	27	0	0	9	0	0	0	0	0	0	0	39	14	5
Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	207	115	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Sphaceloma	0	0	27	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	67	0	0	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales;__;__	Pleosporales;__;__	Pleosporales;__;__	123	141	486	367	1212	510	554	257	2325	574	459	699	768	316	511	42	335	101	758	736	606	428	1012	416	1548	459	771	265	161	579	210	609	0	0	0	0	0	50	13	0	0	11	0	0	11	92	24	14	0	32	134	123	100	109	11	43	63	43	38	240	178	368	14	0	49	26	58	0	85	104	30	42	27	33	22	105	74	23	27	166	287	63	228	9	0	7	23	0	0	80	0	4	107	22	66	25	0	37	96	79	135	12	48	91	1033	1407	1230	1372	902	1236	1526	2278	1130	851	1860	771	1699	1235	825	342	1314	935	739	433	738	796	1040	1275	1219	1689	933	1250	2510	2209	3757	691	1367	603	453
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Biatriosporaceae	Biatriospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	21	62	16	0	0	0	13	19	15	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	31	27	0	0	0	0	82	0	36	29	0	0	0	0	0	34	7	0	0	8	0	0	6	0	0	0	0	47	49	0	7	4	0	0	0	0	0	0	7	65	0	0	0	0	0	63	0	0	8	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Biatriosporaceae	Biatriosporaceae	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	21	27	0	23	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	0	16	0	0	18	0	0	0	0	0	51	159	97	0	0	21	0	0	128	58	11	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	14	0	0	0	0	0	0	0	0	23	30	0	76	0	0	0	21	0	0	20	7	0	0	52	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	0	16	64	0	43	21	0	0	0	16	113	0	10	10	59	13	0	0	0	0	0	0	0	0	0	0	317	156	114	13	26	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	0	78	294	0	127	20	14	13	88	128	879	568	1074	20	61	0	47	0	300	0	158	46	103	39	40	6	218	20	45	78	0	55	112	10	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	34	0	0	67	15	0	0	9	36	69	60	0	29	0	53	0	7	31	31	0	28	102	0	8	17	29	0	0	29	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Dictyosporium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	39	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudocoleophoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	54	408	121	213	19	7	55	316	227	0	0	0	0	0	0	0	0	0	0	0	0	260	1358	2171	192	386	77	0	51	249	51	140
